Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Kenneth Taylor,Netherlands,Ajax,8,Holland Eredivisie,6'0,182 ,154,70,Center Attacking Midfielder (CAM),Left,5,3,1,74,68,55,77,62,73,75,75,78,77,75,76,74,69,69,75,49,70,65,70,68,64,71,74,56,75,62,58,63,9,12,10,6,7,72,73,73,73,73,73,76,76,75,76,71,71,71,70,65,70,17,67,336,76,378,73,363,66,329,68,408,61,183,9,44,422,1996
Calvin Bassey,Nigeria,Ajax,3,Holland Eredivisie,6'1,185 ,168,76,Left Back (LB),Left,3,2,1,72,36,72,68,49,70,63,37,63,69,79,86,67,63,78,64,80,90,88,36,76,66,60,58,44,68,67,73,71,9,7,5,8,7,64,64,63,63,63,64,65,70,67,70,74,72,74,74,74,74,16,59,297,60,302,75,373,72,358,62,372,70,211,7,36,416,1908
Jorge Sánchez,Mexico,Ajax,19,Holland Eredivisie,5'9,175 ,157,71,Right Back (RB),Right,4,2,1,65,44,64,67,40,74,65,40,63,70,91,92,85,72,87,67,79,89,80,45,74,72,60,64,50,77,72,73,71,10,10,12,12,7,66,68,67,67,67,68,69,73,70,73,76,73,76,76,74,76,19,56,280,62,312,85,427,72,360,66,397,72,216,10,51,433,1950
Devyne Rensch,Netherlands,Ajax,15,Holland Eredivisie,5'10,179 ,150,68,Right Back (RB),Right,5,3,1,61,60,67,74,42,71,48,38,65,73,76,77,75,70,72,56,76,72,65,50,72,69,73,64,42,67,69,71,72,10,8,9,13,7,69,69,69,69,69,69,71,72,71,72,73,72,73,73,72,73,18,61,304,59,295,74,370,64,319,65,387,71,212,9,47,409,1880
Maarten Stekelenburg,Netherlands,Ajax,1,Holland Eredivisie,6'6,197 ,203,92,Goalkeeper (GK),Right,4,1,2,18,11,14,39,11,12,13,13,37,31,30,32,30,68,27,56,55,25,77,11,41,26,12,41,23,60,9,15,14,70,75,75,79,72,31,26,29,29,29,26,32,30,34,30,29,34,29,28,31,28,74,19,93,21,106,37,187,45,224,34,203,13,38,74,371,402,1160
Francisco F. da Conceição,Portugal,Ajax,35,Holland Eredivisie,5'6,168 ,135,61,Center Attacking Midfielder (CAM),Left,2,4,1,64,62,36,69,64,81,61,48,63,77,83,76,93,65,85,62,40,64,36,56,42,23,64,69,59,69,30,37,33,9,6,7,15,14,65,72,70,70,70,72,73,73,67,73,57,52,57,53,41,53,19,59,295,66,330,80,402,52,258,54,326,33,100,10,51,362,1690
Mohamed Ihattaren,Netherlands,Ajax,27,Holland Eredivisie,6'0,183 ,165,75,Center Attacking Midfielder (CAM),Left,4,4,1,76,66,52,71,69,81,74,71,71,82,64,67,71,65,71,70,50,45,72,69,54,34,66,80,68,72,38,42,36,9,9,9,13,6,70,73,72,72,72,73,75,74,71,74,58,58,58,55,52,55,17,67,334,76,379,68,338,61,306,62,374,39,116,9,46,388,1795
Lorenzo Lucca,Italy,Ajax,18,Holland Eredivisie,6'7,201 ,183,83,Striker (ST),Right,3,3,1,57,69,69,64,62,68,56,66,55,71,57,74,33,68,30,85,40,65,90,67,73,25,72,54,68,67,29,31,18,11,12,10,5,12,73,65,68,68,68,65,66,67,62,67,52,52,52,49,50,49,18,64,321,63,316,52,262,69,347,60,359,26,78,10,50,370,1664
Jay Gorter,Netherlands,Ajax,16,Holland Eredivisie,6'3,190 ,179,81,Goalkeeper (GK),Right,2,1,1,21,16,20,36,15,23,38,20,42,30,51,48,45,66,35,50,62,43,57,11,35,13,14,62,28,53,19,18,19,72,65,66,71,74,33,32,34,34,34,32,38,37,38,37,32,35,32,32,31,32,72,22,108,31,153,49,245,45,223,34,205,19,56,70,348,398,1285
Lisandro Magallán,Argentina,Ajax,29,Holland Eredivisie,6'1,185 ,183,83,Center Back (CB),Right,3,2,1,45,35,72,64,27,56,32,34,55,62,47,49,51,66,51,50,82,71,81,33,77,71,34,44,44,65,72,69,68,7,9,7,14,16,53,50,51,51,51,50,54,55,59,55,65,68,65,66,71,66,19,49,243,48,239,53,264,63,317,56,335,70,209,11,53,345,1542
