Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Jae Hwan Hwang,South Korea,Ulsan Hyundai FC,14,Korean K League 1,5'7,170 ,128,58,Right Midfielder (RM),Right,3,2,1,53,50,39,64,44,67,51,45,48,59,70,72,61,61,89,49,50,59,35,48,40,27,55,62,42,57,33,33,36,13,7,11,13,10,56,60,59,59,59,60,62,63,58,63,52,48,52,50,41,50,18,50,250,54,270,71,353,48,241,47,283,34,102,11,54,317,1496
Soo Hyuk Cho,South Korea,Ulsan Hyundai FC,1,Korean K League 1,6'2,188 ,183,83,Goalkeeper (GK),Right,3,1,1,12,14,15,12,13,13,18,14,13,15,31,37,69,57,45,45,57,21,65,11,18,12,13,54,20,61,28,14,15,60,61,60,60,58,27,23,24,24,24,23,27,24,24,24,23,24,23,23,27,23,60,13,66,15,73,48,239,40,199,30,178,19,57,60,299,332,1050
Jae Sung Kim,South Korea,Ulsan Hyundai FC,30,Korean K League 1,5'10,179 ,165,75,Center Attacking Midfielder (CAM),Right,3,2,1,42,42,41,57,35,52,50,41,57,51,62,59,64,49,65,56,57,53,58,45,47,29,46,54,42,53,35,45,45,11,7,13,11,10,51,51,51,51,51,51,54,54,53,54,49,49,49,48,46,48,16,43,217,50,251,60,299,54,269,45,271,42,125,10,52,303,1431
Hyeon Bin Seol,South Korea,Ulsan Hyundai FC,28,Korean K League 1,6'3,190 ,172,78,Goalkeeper (GK),Right,2,1,1,15,10,12,26,9,13,13,12,30,11,32,26,30,32,25,40,33,26,56,8,26,10,12,32,16,32,11,13,14,54,49,53,48,52,22,19,19,19,19,19,23,22,23,22,20,23,20,20,22,20,51,14,72,16,79,29,145,33,163,21,128,13,38,51,256,286,849
Joel Graterol,Venezuela,América de Cali,1,Colombian Categoría Primera A,5'9,176 ,181,82,Goalkeeper (GK),Right,3,1,1,12,9,14,15,8,13,11,14,26,18,30,16,34,70,48,53,83,27,46,6,20,13,5,64,16,39,11,12,14,75,72,70,76,76,25,21,24,24,24,21,28,25,29,25,22,25,22,22,24,22,76,12,58,16,82,40,198,43,215,26,157,12,37,74,369,393,1077
Joel Graterol,Venezuela,América de Cali,1,Colombian Categoría Primera A,5'9,176 ,181,82,Goalkeeper (GK),Right,3,1,1,12,9,14,15,8,13,11,14,26,18,30,16,34,70,48,53,83,27,46,6,20,13,5,64,16,39,11,12,14,75,72,70,76,76,25,21,24,24,24,21,28,25,29,25,22,25,22,22,24,22,76,12,58,16,82,40,198,43,215,26,157,12,37,74,369,393,1077
Carlos Sierra,Colombia,América de Cali,4,Colombian Categoría Primera A,6'0,183 ,192,87,Center Midfielder (CM),Left,3,3,1,66,72,72,76,67,69,64,75,70,76,55,65,70,60,71,80,70,80,80,81,73,64,62,68,65,52,58,64,59,11,15,11,11,9,71,69,69,69,69,69,71,71,71,71,69,71,69,68,69,68,19,71,353,71,354,64,321,78,391,64,384,60,181,11,57,417,2022
Adrián Ramos,Colombia,América de Cali,20,Colombian Categoría Primera A,6'0,184 ,172,78,Striker (ST),Right,3,3,1,67,70,74,66,70,64,67,68,57,71,65,67,64,70,67,80,88,67,73,68,62,43,78,67,73,78,44,33,28,9,14,13,14,6,72,68,70,70,70,68,70,70,66,70,58,57,58,56,55,56,19,69,347,65,327,67,333,75,376,67,401,35,105,11,56,382,1867
Juan Camilo Portilla,Colombia,América de Cali,27,Colombian Categoría Primera A,6'1,185 ,176,80,Center Midfielder (CM),Right,3,3,1,55,65,42,68,55,66,42,58,63,68,70,68,55,61,66,64,58,79,71,60,58,71,64,72,60,50,63,72,63,15,12,7,10,11,65,65,66,66,66,65,68,68,70,68,69,70,69,68,66,68,19,57,285,59,297,64,320,66,332,63,375,66,198,11,55,395,1844
Marlon Torres,Colombia,América de Cali,2,Colombian Categoría Primera A,5'11,180 ,154,70,Center Back (CB),Right,2,2,1,52,39,80,59,46,34,35,29,53,59,66,69,70,63,55,52,90,83,85,45,76,70,48,41,37,57,64,67,63,8,10,8,15,9,57,51,51,51,51,51,53,55,57,55,66,66,66,68,72,68,18,55,276,42,210,65,323,71,355,55,329,65,194,10,50,362,1680
Esneyder Mena,Colombia,América de Cali,26,Colombian Categoría Primera A,5'10,177 ,143,65,Right Midfielder (RM),Right,3,3,1,66,60,42,64,37,67,41,30,60,61,75,76,70,65,75,56,37,78,55,37,28,21,63,62,55,62,45,36,35,14,12,9,12,8,61,64,63,63,63,64,65,68,61,68,57,51,57,54,44,54,19,54,269,52,259,72,361,53,263,49,291,39,116,11,55,346,1597
Iago Falqué Silva,Spain,América de Cali,14,Colombian Categoría Primera A,5'8,172 ,154,70,Center Attacking Midfielder (CAM),Left,3,4,2,75,68,53,78,67,72,75,73,68,75,68,66,77,68,83,66,34,60,50,68,48,26,69,66,76,68,44,36,32,15,5,14,13,7,69,71,70,70,70,71,71,71,69,71,58,56,58,55,47,55,19,68,341,73,363,72,362,56,278,59,353,37,112,11,54,371,1782
Cristian Arrieta,Colombia,América de Cali,17,Colombian Categoría Primera A,5'8,172 ,157,71,Right Wing Back (RWB),Right,3,2,1,64,48,57,65,39,60,55,50,61,60,90,90,82,57,83,55,83,91,71,50,63,63,65,52,41,57,62,59,64,9,10,15,9,6,62,64,61,61,61,64,63,67,63,67,70,65,70,69,65,69,16,55,273,57,286,80,402,70,350,57,341,62,185,10,49,399,1829
