Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Vahid Amiri,Iran,Trabzonspor,Unprovided,Turkish Süper Lig,5'10,179 ,165,75,Left Midfielder (LM),Unprovided,3,3,1,72,67,45,67,61,75,69,54,58,69,77,81,79,69,72,60,58,81,72,64,33,34,71,66,61,68,44,29,21,10,12,14,11,10,69,71,69,69,69,71,71,72,66,72,59,54,59,55,47,55,19,62,312,65,325,76,378,67,335,56,333,31,94,11,57,384,1766
Stefano Denswil,Netherlands,Trabzonspor,24,Turkish Süper Lig,6'2,188 ,181,82,Center Back (CB),Left,3,3,1,60,46,72,70,43,63,69,70,71,70,55,59,59,67,56,76,53,69,77,64,77,74,45,64,61,77,73,75,71,11,14,6,9,9,63,60,61,61,61,60,65,64,69,64,70,72,70,71,72,71,19,58,291,69,343,59,296,68,339,66,398,73,219,10,49,393,1858
Eren Elmalı,Turkey,Trabzonspor,18,Turkish Süper Lig,6'0,183 ,168,76,Left Wing Back (LWB),Left,2,2,1,74,30,57,65,29,71,60,47,54,64,76,84,70,65,68,58,67,79,70,40,66,63,65,56,43,62,66,67,64,9,7,10,6,11,60,64,61,61,61,64,63,68,64,68,71,67,71,70,67,70,17,51,255,59,296,73,363,63,314,59,355,66,197,9,43,386,1761
Esteban Alvarado,Costa Rica,Trabzonspor,Unprovided,Turkish Süper Lig,6'4,192 ,187,85,Goalkeeper (GK),Unprovided,3,1,1,14,18,17,22,12,13,11,11,29,21,51,52,58,68,44,50,69,40,62,19,45,18,12,35,20,45,10,12,13,72,64,67,66,73,32,27,28,28,28,27,30,30,29,30,28,29,28,28,29,28,70,17,83,17,85,55,273,48,240,29,175,12,35,68,342,394,1188
Doğucan Haspolat,Turkey,Trabzonspor,34,Turkish Süper Lig,5'10,177 ,165,75,Center Defensive Midfielder (CDM),Right,3,3,1,61,46,44,70,50,67,71,69,71,67,68,63,75,65,80,71,68,76,62,61,71,70,56,64,47,68,65,68,66,13,10,5,13,12,61,63,62,62,62,63,66,67,69,67,69,70,69,68,67,68,19,54,271,69,345,70,351,68,338,63,376,66,199,11,53,388,1865
Yusuf Erdoğan,Turkey,Trabzonspor,32,Turkish Süper Lig,5'7,171 ,150,68,Right Wing (RW),Left,4,3,1,70,62,54,66,70,72,81,71,57,67,80,82,79,60,80,78,71,80,58,70,66,58,64,65,61,66,59,61,59,11,12,13,9,9,68,69,68,68,68,69,69,69,67,69,69,65,69,67,63,67,18,64,322,70,348,76,381,71,357,63,380,60,179,11,54,410,1955
Anders Trondsen,Norway,Trabzonspor,15,Turkish Süper Lig,6'0,183 ,172,78,Left Back (LB),Left,3,3,1,63,60,52,69,52,65,71,68,67,67,75,74,80,63,73,80,56,76,69,70,70,68,64,67,60,66,63,65,63,9,14,7,7,15,67,67,67,67,67,67,69,69,69,69,69,69,69,68,66,68,19,59,296,68,338,73,365,70,351,66,395,64,191,10,52,408,1922
Naci Ünüvar,Netherlands,Trabzonspor,23,Turkish Süper Lig,5'6,168 ,139,63,Center Attacking Midfielder (CAM),Right,3,4,1,63,61,46,68,47,71,71,58,64,74,71,68,72,62,86,62,53,55,38,49,43,25,56,74,62,67,40,38,42,14,14,11,11,10,62,67,66,66,66,67,69,69,65,69,56,53,56,53,45,53,20,57,285,68,338,72,359,51,257,55,327,40,120,12,60,347,1679
Hüseyin Türkmen,Turkey,Trabzonspor,4,Turkish Süper Lig,6'0,183 ,172,78,Center Back (CB),Right,4,2,1,48,25,67,53,40,53,52,36,53,57,71,72,61,61,68,60,84,66,77,45,68,70,25,40,32,56,65,68,66,13,10,11,14,9,52,50,49,49,49,50,51,54,54,54,64,64,64,66,69,66,19,47,233,50,251,67,333,66,332,49,291,66,199,11,57,354,1636
Serkan Asan,Turkey,Trabzonspor,99,Turkish Süper Lig,5'7,170 ,148,67,Right Back (RB),Right,2,2,1,61,30,56,60,47,66,64,40,61,61,73,73,70,63,86,62,68,66,39,50,70,63,57,43,41,60,63,64,66,10,9,10,10,9,56,59,57,57,57,59,59,62,60,62,66,63,66,66,63,66,17,51,254,58,292,73,365,57,285,56,334,64,193,10,48,353,1711
