Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Hauke Wahl,Germany,Holstein Kiel,24,German 2. Bundesliga,6'2,189 ,187,85,Center Back (CB),Right,3,3,1,28,30,69,73,21,58,22,20,65,68,49,62,60,68,66,44,73,79,77,24,60,74,29,59,45,73,68,73,67,15,14,5,13,7,52,52,53,53,53,52,59,58,65,58,66,70,66,67,70,67,20,44,221,47,233,61,305,59,297,57,340,69,208,11,54,351,1585
Steven Skrzybski,Germany,Holstein Kiel,7,German 2. Bundesliga,5'9,174 ,154,70,Right Wing (RW),Right,3,3,1,65,68,58,65,73,68,71,59,52,69,79,68,75,65,76,74,79,72,55,71,58,35,67,64,62,63,32,28,21,11,15,10,9,11,67,67,67,67,67,67,67,67,63,67,55,52,55,52,46,52,19,66,329,64,319,73,363,70,351,58,349,27,81,11,56,369,1804
Thomas Dähne,Germany,Holstein Kiel,21,German 2. Bundesliga,6'4,193 ,185,84,Goalkeeper (GK),Right,4,1,1,14,14,17,35,16,12,20,15,18,25,46,48,36,65,41,51,60,38,68,20,27,20,17,49,26,48,10,16,13,75,65,68,66,74,32,28,30,30,30,28,33,31,32,31,29,30,29,29,29,29,71,19,96,18,90,47,236,47,237,31,187,13,39,70,348,395,1182
Fin Bartels,Germany,Holstein Kiel,31,German 2. Bundesliga,5'9,176 ,152,69,Center Attacking Midfielder (CAM),Right,3,4,1,69,71,43,71,66,75,75,54,68,74,76,67,83,68,80,69,64,48,47,66,50,49,70,74,60,76,44,33,34,9,8,14,12,8,69,71,71,71,71,71,71,71,69,71,59,58,59,56,49,56,18,64,320,69,346,75,374,59,294,63,379,37,111,10,51,375,1791
Alexander Mühling,Germany,Holstein Kiel,8,German 2. Bundesliga,6'1,186 ,185,84,Center Midfielder (CM),Right,4,3,1,67,69,46,74,54,72,65,63,70,73,63,66,71,66,69,72,52,84,72,70,58,58,64,72,85,70,59,58,57,9,12,15,14,7,68,69,69,69,69,69,70,70,70,70,68,68,68,66,62,66,19,62,310,69,343,67,335,70,350,68,407,58,174,11,57,406,1885
Benedikt Pichler,Austria,Holstein Kiel,9,German 2. Bundesliga,6'0,184 ,192,87,Striker (ST),Right,3,3,1,64,70,72,65,53,66,59,54,62,67,72,86,59,63,56,71,79,75,80,65,32,17,67,60,64,52,24,39,36,10,12,9,11,13,71,67,68,68,68,67,68,69,63,69,56,51,56,54,48,54,19,65,324,62,308,67,336,74,370,49,292,33,99,11,55,377,1723
Marvin Schulz,Germany,Holstein Kiel,25,German 2. Bundesliga,6'1,186 ,176,80,Center Defensive Midfielder (CDM),Right,3,2,1,56,66,68,67,60,67,59,60,65,69,59,68,65,65,65,66,70,70,70,71,66,64,66,62,64,65,67,70,65,13,11,13,13,13,69,65,66,66,66,65,68,67,68,67,67,69,67,68,69,68,20,63,317,64,320,64,322,69,347,65,387,67,202,13,63,397,1893
Timo Becker,Germany,Holstein Kiel,17,German 2. Bundesliga,6'3,190 ,179,81,Center Back (CB),Right,3,2,1,61,40,67,63,33,59,37,33,57,62,69,81,41,63,57,42,71,76,78,36,71,66,39,41,46,62,66,69,65,12,11,6,14,5,56,56,54,54,54,56,56,61,59,61,68,67,68,69,70,69,18,53,264,50,248,62,311,61,303,54,325,67,200,10,48,372,1629
Finn Porath,Germany,Holstein Kiel,27,German 2. Bundesliga,5'10,179 ,150,68,Right Midfielder (RM),Right,4,3,1,64,58,50,72,55,72,56,49,65,70,81,80,81,69,78,68,59,79,58,60,73,58,60,69,61,67,57,66,60,13,14,10,7,12,66,69,68,68,68,69,71,72,70,72,70,68,70,68,64,68,20,60,299,62,312,78,389,65,324,65,388,61,183,11,56,406,1884
Marco Komenda,Germany,Holstein Kiel,3,German 2. Bundesliga,6'0,184 ,168,76,Center Back (CB),Left,4,2,1,57,37,63,59,37,57,45,42,54,62,70,68,66,59,64,46,81,65,77,35,71,71,43,41,42,52,68,69,67,12,12,13,11,14,55,55,53,53,53,55,55,58,57,58,66,66,66,67,70,67,19,51,253,52,260,65,327,61,304,53,320,68,204,12,62,362,1678
Simon Lorenz,Germany,Holstein Kiel,19,German 2. Bundesliga,6'2,187 ,185,84,Center Back (CB),Right,3,2,1,39,29,69,62,32,45,36,47,57,53,73,70,62,49,64,55,75,74,78,40,74,69,45,42,37,55,64,71,67,9,8,13,12,8,53,49,50,50,50,49,52,54,56,54,63,65,63,65,70,65,16,46,231,48,238,64,318,64,322,54,322,67,202,10,50,355,1628
Patrick Erras,Germany,Holstein Kiel,4,German 2. Bundesliga,6'5,196 ,192,87,Center Defensive Midfielder (CDM),Right,3,2,1,44,40,57,71,18,41,24,32,70,63,33,34,31,62,29,49,36,63,82,47,62,63,43,66,31,72,64,64,56,13,9,11,8,12,52,49,51,51,51,49,57,54,64,54,59,67,59,59,65,59,18,46,230,46,230,38,189,55,277,56,337,61,184,11,53,318,1448
Kwasi Wriedt,Ghana,Holstein Kiel,18,German 2. Bundesliga,6'2,188 ,181,82,Striker (ST),Left,4,3,1,60,70,66,59,63,63,59,64,43,64,68,62,59,66,64,73,60,65,86,56,64,21,69,57,68,64,31,27,21,8,9,15,13,11,68,63,65,65,65,63,64,64,58,64,50,48,50,48,47,48,19,64,318,59,293,64,319,68,340,57,343,26,79,11,56,357,1684
Julian Korb,Germany,Holstein Kiel,23,German 2. Bundesliga,5'10,177 ,154,70,Right Wing Back (RWB),Right,2,3,1,70,56,43,70,30,68,68,44,58,68,74,64,77,67,74,54,76,63,56,40,73,66,65,64,49,68,62,64,67,12,13,14,10,12,61,66,64,64,64,66,67,69,66,69,69,67,69,68,65,68,20,54,269,61,306,71,356,58,289,64,385,64,193,12,61,379,1791
Tim Schreiber,Germany,Holstein Kiel,1,German 2. Bundesliga,6'3,190 ,192,87,Goalkeeper (GK),Right,2,1,1,14,7,10,42,9,14,11,11,38,19,29,28,44,52,25,49,55,36,65,6,28,13,5,44,18,35,9,11,14,67,63,65,66,70,25,23,24,24,24,23,29,28,32,28,25,30,25,24,25,24,67,16,82,19,93,36,178,42,211,24,143,11,34,66,331,360,1044
Jann-Fiete Arp,Germany,Holstein Kiel,20,German 2. Bundesliga,6'0,184 ,172,78,Striker (ST),Right,3,3,1,63,65,63,57,64,68,49,38,34,66,75,81,72,65,70,66,62,59,75,59,44,22,66,60,55,60,26,32,24,14,12,10,7,11,68,66,66,66,66,66,65,66,57,66,52,46,52,50,45,50,19,62,312,51,255,73,363,64,321,51,307,27,82,11,54,358,1661
