Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Emre Akbaba,Turkey,Adana Demirspor,20,Turkish Süper Lig,5'11,180 ,161,73,Center Attacking Midfielder (CAM),Left,3,3,1,69,71,62,75,68,70,76,74,75,73,60,62,65,71,67,77,58,73,52,76,58,54,75,74,75,72,57,59,56,14,11,6,11,8,72,71,72,72,72,71,72,72,72,72,67,67,67,65,61,65,19,69,345,74,368,65,325,67,336,68,408,57,172,10,50,394,1928
Badou Ndiaye,Senegal,Adana Demirspor,17,Turkish Süper Lig,5'11,180 ,168,76,Center Defensive Midfielder (CDM),Right,3,3,1,59,63,55,74,65,75,70,63,69,73,83,81,79,71,75,80,75,82,77,72,77,74,66,68,65,77,72,72,69,7,12,11,7,10,72,71,72,72,72,71,72,72,72,72,72,72,72,72,72,72,18,63,316,70,350,78,389,77,386,71,427,71,213,9,47,442,2052
Fredrik Gulbrandsen,Norway,Adana Demirspor,23,Turkish Süper Lig,5'9,175 ,174,79,Striker (ST),Right,3,3,1,62,71,61,67,67,73,68,53,51,73,84,86,85,69,83,77,90,81,76,67,71,38,74,56,59,62,39,29,19,15,6,9,7,15,72,72,72,72,72,72,71,72,65,72,59,56,59,56,52,56,19,66,328,64,318,81,407,78,391,60,360,29,87,10,52,404,1881
Gökhan İnler,Switzerland,Adana Demirspor,88,Turkish Süper Lig,6'0,183 ,176,80,Center Defensive Midfielder (CDM),Right,5,2,3,68,56,64,75,70,70,71,68,76,72,38,34,52,62,61,82,61,57,73,76,66,67,61,67,72,78,68,72,63,11,14,6,10,5,67,63,64,64,64,63,69,67,70,67,67,70,67,66,70,66,19,67,333,71,357,49,247,70,349,69,411,68,203,9,46,378,1880
Britt Assombalonga,DR Congo,Adana Demirspor,9,Turkish Süper Lig,5'10,177 ,174,79,Striker (ST),Right,3,3,1,58,70,72,63,67,67,69,64,46,67,82,81,73,67,70,74,73,66,84,62,62,33,70,59,70,70,27,34,29,8,10,6,11,7,71,68,68,68,68,68,68,68,61,68,55,52,55,54,52,54,17,66,330,63,313,75,373,72,359,61,364,30,90,8,42,387,1801
Yusuf Sarı,Turkey,Adana Demirspor,26,Turkish Süper Lig,5'6,168 ,121,55,Left Midfielder (LM),Left,2,3,1,68,59,39,64,59,76,74,64,58,71,82,78,84,65,92,76,53,55,33,70,36,30,63,60,57,64,34,27,34,11,9,6,10,11,65,69,68,68,68,69,69,70,63,70,56,49,56,52,41,52,18,58,289,69,343,80,401,57,287,52,310,32,95,9,47,356,1718
Ertaç Özbir,Turkey,Adana Demirspor,25,Turkish Süper Lig,6'2,188 ,172,78,Goalkeeper (GK),Right,2,1,1,24,11,14,22,20,11,18,19,17,25,29,30,29,63,39,49,58,30,65,14,32,13,12,11,23,51,15,14,19,72,67,65,70,71,28,22,23,23,23,22,23,25,23,25,26,26,26,26,28,26,70,18,91,18,90,38,190,43,216,24,142,16,48,69,345,374,1071
Babajide David Akintola,Nigeria,Adana Demirspor,11,Turkish Süper Lig,5'10,178 ,152,69,Right Wing (RW),Right,4,3,1,63,61,57,59,44,70,61,41,47,67,91,91,90,62,73,70,75,80,63,58,55,39,69,63,66,51,30,45,47,11,7,10,15,16,68,69,68,68,68,69,68,70,62,70,61,54,61,60,52,60,20,57,284,57,286,81,407,69,346,57,343,41,122,12,59,388,1796
Gökhan Töre,Turkey,Adana Demirspor,30,Turkish Süper Lig,5'9,176 ,154,70,Left Wing (LW),Left,3,3,2,68,59,59,66,59,77,75,68,63,71,77,74,81,54,81,73,52,54,68,68,73,43,63,65,66,61,45,38,32,11,10,7,12,11,68,68,67,67,67,68,68,68,64,68,58,57,58,55,53,55,18,62,311,71,354,73,367,63,315,62,371,38,115,10,51,387,1823
Goran Karačić,Bosnia and Herzegovina,Adana Demirspor,18,Turkish Süper Lig,6'5,196 ,190,86,Goalkeeper (GK),Right,2,1,1,12,5,13,29,8,14,10,11,27,13,31,32,30,58,25,48,32,20,66,7,24,7,8,40,12,33,30,12,12,70,70,64,60,69,25,21,23,23,23,21,26,24,26,24,23,26,23,23,26,23,68,13,67,15,75,35,176,35,173,21,124,18,54,67,333,364,969
Samet Akaydin,Turkey,Adana Demirspor,5,Turkish Süper Lig,6'3,190 ,181,82,Center Back (CB),Right,2,2,1,27,34,72,58,29,42,34,26,50,52,59,55,51,65,47,44,77,61,71,28,71,64,35,30,46,52,67,70,67,12,8,6,7,7,51,45,46,46,46,45,48,49,52,49,59,63,59,62,69,62,17,44,220,41,204,55,277,56,281,50,298,68,204,8,40,319,1472
Birkir Bjarnason,Iceland,Adana Demirspor,8,Turkish Süper Lig,6'0,183 ,170,77,Center Midfielder (CM),Right,4,3,1,66,67,69,69,62,64,55,54,67,68,63,65,68,67,75,68,78,83,71,69,70,63,68,66,50,68,62,63,53,13,6,9,12,10,67,66,67,67,67,66,67,67,67,67,67,67,67,67,67,67,18,67,333,62,308,68,338,74,369,64,385,59,178,10,50,400,1893
Erhun Öztümer,England,Adana Demirspor,50,Turkish Süper Lig,5'3,160 ,132,60,Left Wing (LW),Left,3,4,1,62,62,36,66,66,75,68,67,65,66,76,70,93,60,95,66,83,67,32,67,64,22,61,66,68,68,27,35,32,11,15,11,13,15,63,67,66,66,66,67,67,67,64,67,54,51,54,50,42,50,20,58,292,68,341,79,394,63,315,58,349,31,94,13,65,356,1783
Semih Güler,Turkey,Adana Demirspor,4,Turkish Süper Lig,6'0,184 ,183,83,Center Back (CB),Right,3,2,1,40,25,61,57,27,42,39,35,66,52,50,54,49,50,58,61,70,64,79,42,68,61,23,28,42,64,59,63,64,8,9,11,6,11,47,42,42,42,42,42,45,47,52,47,58,61,58,59,65,59,15,42,210,47,234,52,261,63,316,48,286,62,186,9,45,317,1511
Jovan Manev,North Macedonia,Adana Demirspor,15,Turkish Süper Lig,6'1,185 ,170,77,Center Back (CB),Right,3,2,1,33,54,68,52,32,61,35,26,41,54,77,82,62,46,61,58,78,61,77,32,71,61,41,41,43,55,59,69,68,8,10,9,11,11,58,53,54,54,54,53,53,55,52,55,60,59,60,62,67,62,16,48,239,43,217,66,328,61,306,52,312,65,196,10,49,364,1592
Berk Yıldız,Turkey,Adana Demirspor,70,Turkish Süper Lig,5'10,178 ,163,74,Striker (ST),Left,3,3,1,61,69,57,62,70,68,60,54,59,65,72,71,73,49,64,68,60,53,65,69,43,20,72,52,68,51,30,27,27,15,6,8,9,8,66,65,65,65,65,65,66,65,59,65,49,47,49,47,43,47,16,64,319,61,306,66,329,63,315,51,306,28,84,9,46,352,1654
Abdurrahim Dursun,Turkey,Adana Demirspor,3,Turkish Süper Lig,5'10,177 ,154,70,Left Back (LB),Left,3,2,1,59,33,50,59,49,64,68,55,42,62,75,74,66,65,74,64,60,58,59,57,56,60,60,38,40,64,59,68,67,13,14,15,14,11,58,59,58,58,58,59,58,61,57,61,65,61,65,65,63,65,21,50,250,58,291,71,354,60,298,53,318,65,194,13,67,358,1695
Samuel Nongoh,Cameroon,Adana Demirspor,46,Turkish Süper Lig,5'10,179 ,132,60,Left Midfielder (LM),Left,2,4,1,52,54,40,55,64,66,60,46,51,61,90,89,88,43,86,67,48,46,34,46,31,24,51,47,59,46,24,35,32,12,15,7,13,6,58,61,58,58,58,61,60,61,52,61,49,43,49,47,38,47,17,53,265,57,284,79,396,48,241,43,258,30,91,11,53,330,1542
Mustafa Kapı,Turkey,Adana Demirspor,6,Turkish Süper Lig,5'9,175 ,137,62,Center Attacking Midfielder (CAM),Right,3,3,1,54,55,48,67,47,69,62,55,65,65,67,66,69,53,90,62,61,34,33,54,48,51,49,64,56,64,53,54,49,5,7,13,12,9,58,61,61,61,61,61,64,63,62,63,57,57,57,56,53,56,15,54,271,63,316,69,345,49,244,55,332,52,156,9,46,343,1646
