Player Name,Nationality,Team,Kit Number,League,Height(inches),Height(cm),Weight(lbs),Weight(kg),Best Position,Best Foot,Weak Foot,Skill moves,International Reputation,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FreeKick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Striker (ST),Left Wing (LW),Left Forward (LF),Center Forward (CF),Right Forward (RF),Right Wing (RW),Center Attacking Midfielder (CAM),Left Midfielder (LM),Center Midfielder (CM),Right Midfielder (RM),Left Wing Back (LWB),Center Defensive Midfielder (CDM),Right Wing Back (RWB),Left Back (LB),Center Back (CB),Right Back (RB),Goalkeeper (GK),Attacking Average,Attacking Total,Skill Average,Skill Total,Movement Average,Movement Total,Power Average,Power Total,Mentality Average,Mentality Total,Defending Average,Defending Total,Goalkeeping Average,Goalkeeping Total,Base stats,Total Stats
Thijs van Leeuwen,Netherlands,FC Twente,37,Holland Eredivisie,5'9,176 ,157,71,Center Attacking Midfielder (CAM),Right,3,3,1,54,58,51,65,50,66,51,53,66,65,74,73,66,59,72,59,58,60,61,46,49,23,61,60,59,60,43,50,56,13,13,11,5,6,62,63,62,62,62,63,65,65,62,65,57,55,57,56,52,56,17,56,278,60,301,69,344,57,284,52,312,50,149,10,48,356,1656
Max Bruns,Netherlands,FC Twente,38,Holland Eredivisie,6'0,183 ,148,67,Center Defensive Midfielder (CDM),Right,3,2,1,48,39,52,68,40,58,41,41,65,51,59,67,63,58,65,57,67,72,58,33,58,59,51,57,50,57,61,59,58,9,14,14,8,6,54,54,54,54,54,54,58,59,61,59,62,63,62,61,61,61,17,49,247,51,256,62,312,57,287,55,332,59,178,10,51,343,1606
Casper Staring,Netherlands,FC Twente,32,Holland Eredivisie,6'1,186 ,165,75,Center Back (CB),Right,3,2,1,44,40,60,65,33,51,45,47,56,53,68,63,66,59,62,53,72,51,70,41,64,55,42,49,54,59,61,64,64,12,11,14,12,8,54,52,52,52,52,52,55,55,56,55,59,61,59,61,64,61,18,48,242,50,252,64,318,57,287,54,323,63,189,11,57,341,1609
Luca Everink,Netherlands,FC Twente,24,Holland Eredivisie,5'10,179 ,168,76,Center Back (CB),Right,3,2,1,47,31,54,55,27,62,37,34,49,54,73,72,53,55,65,31,70,65,73,26,60,59,47,36,41,42,56,64,62,12,11,14,8,14,51,52,50,50,50,52,52,56,53,56,61,59,61,62,63,62,18,43,214,47,236,64,318,53,265,48,285,61,182,12,59,335,1517
Issam El Maach,Morocco,FC Twente,16,Holland Eredivisie,6'2,187 ,212,96,Goalkeeper (GK),Right,3,1,1,13,8,10,28,7,17,10,11,22,30,42,39,35,58,40,48,59,27,70,10,23,9,8,35,22,28,8,13,13,58,56,64,62,65,28,25,26,26,26,25,29,28,28,28,25,26,25,24,25,24,62,13,66,18,90,43,214,43,214,21,125,11,34,61,305,346,1020
Sam Karssies,Netherlands,FC Twente,30,Holland Eredivisie,6'1,186 ,154,70,Goalkeeper (GK),Right,3,1,1,10,7,13,19,7,5,10,11,27,18,18,20,36,48,39,41,47,17,42,9,20,12,7,37,15,28,5,13,10,57,59,54,55,59,21,17,19,19,19,17,22,20,23,20,18,22,18,18,20,18,58,11,56,14,71,32,161,31,156,20,119,9,28,57,284,303,847
Bas Dost,Netherlands,FC Utrecht,28,Holland Eredivisie,6'5,196 ,183,83,Striker (ST),Right,3,2,2,38,82,89,67,80,64,61,36,42,73,43,45,33,78,33,79,44,60,86,61,75,39,84,67,90,79,38,51,26,6,12,15,11,8,76,64,71,71,71,64,69,65,66,65,53,58,53,52,59,52,19,71,356,55,276,46,232,66,330,72,434,38,115,10,52,363,1716
Amin Younes,Germany,FC Utrecht,14,Holland Eredivisie,5'7,170 ,157,71,Center Attacking Midfielder (CAM),Right,2,4,2,63,69,28,76,64,81,73,59,72,81,72,67,88,70,89,73,37,75,52,62,70,42,74,76,58,74,39,43,25,15,11,9,15,15,69,74,74,74,74,74,75,75,74,75,61,62,61,56,49,56,22,60,300,73,366,77,386,60,299,66,394,36,107,13,65,389,1844
Bart Ramselaar,Netherlands,FC Utrecht,23,Holland Eredivisie,5'10,178 ,163,74,Center Attacking Midfielder (CAM),Right,3,3,1,63,69,54,74,67,75,72,55,71,75,85,83,82,73,76,73,58,75,64,75,66,48,72,67,63,72,57,53,44,7,10,15,12,12,73,74,73,73,73,74,75,75,72,75,67,66,67,64,60,64,19,65,327,70,348,80,399,69,345,65,388,51,154,11,56,419,1945
Jens Toornstra,Netherlands,FC Utrecht,18,Holland Eredivisie,5'10,178 ,163,74,Center Midfielder (CM),Right,2,3,1,79,73,62,78,81,69,75,74,74,71,46,56,62,70,78,76,49,77,67,78,73,77,76,77,56,76,72,70,59,14,15,16,6,6,72,70,71,71,71,70,74,73,74,73,73,74,73,71,71,71,19,75,373,73,363,62,312,69,347,73,435,67,201,11,57,413,2016
Mike van der Hoorn,Netherlands,FC Utrecht,33,Holland Eredivisie,6'3,190 ,187,85,Center Back (CB),Right,3,2,1,41,43,82,64,26,48,35,31,67,52,35,57,34,70,35,72,82,76,85,31,66,71,46,37,40,69,73,74,70,7,11,15,10,15,58,48,51,51,51,48,52,54,59,54,65,69,65,67,73,67,19,51,256,47,233,46,231,69,346,55,329,72,217,12,58,346,1578
